Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","036","Australia","5412","Yield","01371","Almonds, in shell","2024","2024","kg/ha","6107","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","kg/ha","1160.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01341","Apples","2024","2024","kg/ha","15868.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01343","Apricots","2024","2024","kg/ha","1011.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01216","Artichokes","2024","2024","kg/ha","15100","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01211","Asparagus","2024","2024","kg/ha","5146.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01311","Avocados","2024","2024","kg/ha","5966.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01312","Bananas","2024","2024","kg/ha","29188.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0115","Barley","2024","2024","kg/ha","2870.6","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01701","Beans, dry","2024","2024","kg/ha","1713.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01355.01","Blueberries","2024","2024","kg/ha","3908.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01702","Broad beans and horse beans, dry","2024","2024","kg/ha","1866.5","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01212","Cabbages","2024","2024","kg/ha","32385.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01195","Canary seed","2024","2024","kg/ha","681.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01229","Cantaloupes and other melons","2024","2024","kg/ha","33925.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01251","Carrots and turnips","2024","2024","kg/ha","59295.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01213","Cauliflowers and broccoli","2024","2024","kg/ha","12316.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01344.02","Cherries","2024","2024","kg/ha","7314","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01373","Chestnuts, in shell","2024","2024","kg/ha","2113.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01703","Chick peas, dry","2024","2024","kg/ha","2183","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","kg/ha","22486","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01232","Cucumbers and gherkins","2024","2024","kg/ha","29700.2","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01351.01","Currants","2024","2024","kg/ha","4727.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01233","Eggplants (aubergines)","2024","2024","kg/ha","21722.7","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01315","Figs","2024","2024","kg/ha","1003","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01657","Ginger, raw","2024","2024","kg/ha","10871.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01330","Grapes","2024","2024","kg/ha","11929.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01290.01","Green corn (maize)","2024","2024","kg/ha","11760.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01252","Green garlic","2024","2024","kg/ha","6824.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0142","Groundnuts, excluding shelled","2024","2024","kg/ha","3132.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01374","Hazelnuts, in shell","2024","2024","kg/ha","1088","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01449.02","Hempseed","2024","2024","kg/ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5413","Yield","0231","Hen eggs in shell, fresh","2024","2024","No/An","265","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2024","2024","g/An","14833","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01659","Hop cones","2024","2024","kg/ha","2346.8","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5417","Yield/Carcass Weight","21118.01","Horse meat, fresh or chilled","2024","2024","kg/An","243","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01352","Kiwi fruit","2024","2024","kg/ha","17474.4","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01322","Lemons and limes","2024","2024","kg/ha","23168.5","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01704","Lentils, dry","2024","2024","kg/ha","1220.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01214","Lettuce and chicory","2024","2024","kg/ha","17626.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01441","Linseed","2024","2024","kg/ha","1000","X","Figure from external organization",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01709.02","Lupins","2024","2024","kg/ha","1512.1","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","5949.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01316","Mangoes, guavas and mangosteens","2024","2024","kg/ha","4077.7","E","Estimated value",""
