,,,,,,,,,,,,,,,,,,,,
,CAS RN,Name,Midpoint Ecotox. Charact. factor [PAF.m3.day/kgemitted],,,,,,,,Endpoint Ecotox. Charact. factor [PDF.m3.day/kgemitted],,,,,,,,CHARACTERIZATION FACTOR FLAGGING,
,,,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,(F=indicative; n/a=not available),
,,,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,,Ecotox
,100-00-5,P-CHLORONITROBENZENE,1.47E+02,1.48E+02,1.49E+02,1.45E+02,2.89E+03,2.37E+00,3.27E+02,3.27E+02,7.34E+01,7.39E+01,7.43E+01,7.24E+01,1.45E+03,1.18E+00,1.64E+02,1.64E+02,,
,100-01-6,4-NITROANILINE,8.76E+02,1.03E+03,1.13E+03,6.22E+02,3.86E+03,2.99E-03,6.25E+02,6.25E+02,4.38E+02,5.14E+02,5.65E+02,3.11E+02,1.93E+03,1.49E-03,3.12E+02,3.12E+02,,
,100-41-4,ethylbenzene,2.56E-02,2.63E-02,2.68E-02,2.43E-02,1.75E+02,2.21E-03,1.72E+00,1.72E+00,1.28E-02,1.32E-02,1.34E-02,1.22E-02,8.74E+01,1.11E-03,8.58E-01,8.58E-01,,
,100-42-5,styrene,1.55E-02,1.81E-02,1.99E-02,1.11E-02,1.85E+02,1.00E-03,8.41E-01,8.41E-01,7.75E-03,9.06E-03,9.94E-03,5.56E-03,9.26E+01,5.00E-04,4.20E-01,4.20E-01,,
,100-44-7,Benzyl chloride,3.46E+00,3.47E+00,3.47E+00,3.45E+00,8.20E+02,2.70E-01,3.12E+01,3.12E+01,1.73E+00,1.73E+00,1.74E+00,1.73E+00,4.10E+02,1.35E-01,1.56E+01,1.56E+01,,F
,100-51-6,benzyl alcohol,8.44E+00,9.10E+00,9.54E+00,7.34E+00,2.00E+02,4.40E-03,3.94E+01,3.94E+01,4.22E+00,4.55E+00,4.77E+00,3.67E+00,1.00E+02,2.20E-03,1.97E+01,1.97E+01,,
,100-52-7,benzyldehyde,2.88E+00,2.88E+00,2.88E+00,2.89E+00,3.51E+02,9.11E-02,4.52E+01,4.52E+01,1.44E+00,1.44E+00,1.44E+00,1.44E+00,1.76E+02,4.56E-02,2.26E+01,2.26E+01,,
,100-97-0,HEXAMETHYLENETETRAMINE,2.06E-01,2.24E-01,2.36E-01,1.77E-01,9.83E-01,7.67E-08,3.71E-01,3.71E-01,1.03E-01,1.12E-01,1.18E-01,8.84E-02,4.92E-01,3.83E-08,1.85E-01,1.85E-01,,F
,101-05-3,ANILAZINE,5.68E+04,8.49E+04,1.04E+05,9.94E+03,4.00E+05,2.77E-02,5.35E+01,5.35E+01,2.84E+04,4.24E+04,5.18E+04,4.97E+03,2.00E+05,1.39E-02,2.68E+01,2.68E+01,,
,101200-48-0,Tribenuron-methyl,1.00E+02,1.38E+02,1.63E+02,3.76E+01,6.78E+02,8.78E-15,2.28E+01,2.28E+01,5.01E+01,6.88E+01,8.13E+01,1.88E+01,3.39E+02,4.39E-15,1.14E+01,1.14E+01,,F
,101-21-3,CHLORPROPHAM,5.83E+01,7.49E+01,8.61E+01,3.04E+01,5.49E+03,5.65E-02,8.59E+01,8.60E+01,2.91E+01,3.75E+01,4.30E+01,1.52E+01,2.74E+03,2.82E-02,4.30E+01,4.30E+01,,
,1024-57-3,Heptachlor epoxide,7.51E+03,7.81E+03,8.01E+03,7.02E+03,6.34E+05,8.72E+02,6.12E+03,6.12E+03,3.76E+03,3.90E+03,4.00E+03,3.51E+03,3.17E+05,4.36E+02,3.06E+03,3.06E+03,,
,10265-92-6,METHAMIDPHOS,1.85E+03,2.45E+03,2.86E+03,8.35E+02,9.94E+03,8.95E-06,7.13E+02,7.13E+02,9.23E+02,1.23E+03,1.43E+03,4.18E+02,4.97E+03,4.48E-06,3.57E+02,3.57E+02,,
,102-71-6,TRIETHANOLAMINE,2.09E+00,3.07E+00,3.72E+00,4.58E-01,1.40E+01,2.81E-10,1.93E-01,2.14E-01,1.05E+00,1.53E+00,1.86E+00,2.29E-01,6.98E+00,1.40E-10,9.65E-02,1.07E-01,,F
,10311-84-9,DIALIFOR,1.54E+02,2.29E+02,2.79E+02,2.82E+01,1.31E+04,1.34E-02,3.38E+01,3.38E+01,7.68E+01,1.14E+02,1.39E+02,1.41E+01,6.53E+03,6.69E-03,1.69E+01,1.69E+01,,F
,103-23-1,Bis(2-ethylhexyl)adipate,3.12E+00,3.90E+00,4.41E+00,1.83E+00,1.35E+02,1.57E-04,4.36E-02,4.37E-02,1.56E+00,1.95E+00,2.21E+00,9.17E-01,6.74E+01,7.83E-05,2.18E-02,2.19E-02,,
,103-33-3,AZOBENZENE,4.42E+02,4.49E+02,4.53E+02,4.30E+02,1.67E+04,1.60E+01,1.88E+02,1.88E+02,2.21E+02,2.24E+02,2.27E+02,2.15E+02,8.33E+03,7.98E+00,9.42E+01,9.42E+01,,
,103-72-0,PHENYLISOTHIOCYANATE,1.29E+01,1.31E+01,1.32E+01,1.25E+01,1.50E+04,1.07E+00,1.03E+02,1.03E+02,6.43E+00,6.53E+00,6.59E+00,6.27E+00,7.52E+03,5.35E-01,5.15E+01,5.15E+01,,F
,10380-28-6,"BIS(8-QUINOLINOLATO-(N1,O8))COPPER",3.32E+05,4.31E+05,4.97E+05,1.67E+05,2.21E+06,1.06E+00,2.57E+05,2.57E+05,1.66E+05,2.15E+05,2.48E+05,8.34E+04,1.11E+06,5.29E-01,1.29E+05,1.29E+05,,F
,103-85-5,N-PHENYLTHIOUREA,6.16E+01,8.07E+01,9.34E+01,2.99E+01,7.18E+02,1.07E-03,4.96E+01,4.96E+01,3.08E+01,4.03E+01,4.67E+01,1.49E+01,3.59E+02,5.33E-04,2.48E+01,2.48E+01,,F
,10453-86-8,RESMETHRIN,2.86E+04,4.36E+04,5.35E+04,3.77E+03,2.65E+06,1.21E+00,3.06E+02,3.06E+02,1.43E+04,2.18E+04,2.67E+04,1.89E+03,1.33E+06,6.04E-01,1.53E+02,1.53E+02,,
,104-76-7,2-ETHYL-1-HEXANOL,1.99E+00,2.01E+00,2.02E+00,1.95E+00,2.71E+02,3.43E-02,5.17E+00,5.17E+00,9.93E-01,1.00E+00,1.01E+00,9.73E-01,1.36E+02,1.71E-02,2.58E+00,2.58E+00,,
,105-55-5,"N,N-DIETHYLTHIOUREA",9.16E-02,9.45E-02,9.65E-02,8.66E-02,8.99E+01,1.75E-03,5.53E+00,5.53E+00,4.58E-02,4.73E-02,4.83E-02,4.33E-02,4.50E+01,8.75E-04,2.77E+00,2.77E+00,,F
,105-60-2,CAPROLACTAM,4.35E+00,5.19E+00,5.76E+00,2.94E+00,1.93E+01,1.60E-06,2.92E+00,2.92E+00,2.17E+00,2.60E+00,2.88E+00,1.47E+00,9.66E+00,7.99E-07,1.46E+00,1.46E+00,,
,105-67-9,"2,4-dimethylphenol",8.10E+00,1.08E+01,1.26E+01,3.64E+00,1.28E+03,5.84E-03,5.80E+00,5.80E+00,4.05E+00,5.39E+00,6.28E+00,1.82E+00,6.42E+02,2.92E-03,2.90E+00,2.90E+00,,
,10599-90-3,Chloramide,1.52E+04,1.63E+04,1.70E+04,1.33E+04,7.19E+04,2.42E-09,1.37E+04,1.37E+04,7.59E+03,8.15E+03,8.52E+03,6.66E+03,3.59E+04,1.21E-09,6.86E+03,6.86E+03,,
,10605-21-7,CARBENDAZIM,1.07E+05,1.56E+05,1.89E+05,2.58E+04,7.40E+05,1.81E-03,1.84E+04,1.79E+04,5.36E+04,7.80E+04,9.43E+04,1.29E+04,3.70E+05,9.04E-04,9.22E+03,8.93E+03,,
,106-46-7,"1,4-dichlorobenzene",3.72E+00,3.73E+00,3.74E+00,3.71E+00,9.83E+02,6.69E-01,1.73E+01,1.73E+01,1.86E+00,1.87E+00,1.87E+00,1.86E+00,4.91E+02,3.34E-01,8.67E+00,8.67E+00,,
,106-47-8,4-CHLOROANILINE,6.28E+01,7.07E+01,7.59E+01,4.97E+01,6.38E+03,2.23E-01,7.37E+02,7.91E+02,3.14E+01,3.53E+01,3.80E+01,2.48E+01,3.19E+03,1.11E-01,3.69E+02,3.96E+02,,
,106-50-3,p-Phenylenediamine,5.79E+03,7.51E+03,8.65E+03,2.93E+03,3.47E+04,3.03E-02,1.49E+03,6.20E+03,2.90E+03,3.75E+03,4.33E+03,1.47E+03,1.74E+04,1.51E-02,7.44E+02,3.10E+03,,
,106-51-4,"1,4-Benzoquinone",1.62E+02,1.61E+02,1.61E+02,1.62E+02,5.70E+04,1.34E+01,7.06E+03,7.06E+03,8.09E+01,8.07E+01,8.06E+01,8.11E+01,2.85E+04,6.68E+00,3.53E+03,3.53E+03,,F
,1067-33-0,DI-n-BUTYL TIN DIACETATE,4.38E+01,4.33E+01,4.29E+01,4.48E+01,5.22E+04,2.49E+00,7.50E+03,7.50E+03,2.19E+01,2.16E+01,2.14E+01,2.24E+01,2.61E+04,1.25E+00,3.75E+03,3.75E+03,,F
,106-89-8,Epichlorohydrin,1.25E+01,1.25E+01,1.26E+01,1.25E+01,3.38E+02,4.46E-01,5.66E+01,5.66E+01,6.26E+00,6.27E+00,6.28E+00,6.24E+00,1.69E+02,2.23E-01,2.83E+01,2.83E+01,,
