,"Productions agricoles francaises conventionnelles
(ou étrangères modélisées dans le cadre d'Agribalyse)",,,,,,,,,"*Ces indicateurs représentent l’impact sur la santé lié à l’exposition de la population générale aux contaminants chimiques via les pollutions du milieu (air, eau, sol).  Ces contaminants émis dans l’environnement sont notamment des pesticides, des métaux lourds ou encore des polluants industriels. L’exposition par ingestion directe d’un aliment contenant des résidus de pesticides n’est pour l’instant pas intégrée dans les calculs d’Analyse du Cycle de Vie. Cette exposition est par ailleurs encadrée par la réglementation « Limites Maximales de Résidus (LMR) » au niveau français et européen.  ",,,,,,,,,,,,,
,,,,Score unique EF3.1 ,Changement climatique,Appauvrissement de la couche d'ozone ,Rayonnements ionisants ,Formation photochimique d'ozone ,Particules ,Effets toxicologiques sur la santé humaine : substances non-cancérogènes*,Effets toxicologiques sur la santé humaine : substances cancérogènes*,Acidification terrestre et eaux douces,Eutrophisation eaux douces ,Eutrophisation marine ,Eutrophisation terreste,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux,Changement climatique - émissions biogéniques,Changement climatique - émissions fossiles,Changement climatique - émissions liées au changement d'affectation des sols
Nom du Produit en Français,LCI Name,Type de production,Catégorie,mPt/kg,kg CO2 eq/kg,kg CFC11 eq/kg,kBq U-235 eq/kg,kg NMVOC eq/kg,disease inc./kg,CTUh/kg,CTUh/kg,mol H+ eq/kg,kg P eq/kg,kg N eq/kg,mol N eq/kg,CTUe/kg,Pt/kg,m3 depriv./kg,MJ/kg,kg Sb eq/kg,kg CO2 eq/kg,kg CO2 eq/kg,kg CO2 eq/kg
"Abricot, conventionnel, moyenne nationale, au verger, France","Apricot, conventional, national average, at orchard {FR} U",Culture,Agricultural\Plant production\Fruits\Transformation,0.10,0.25,4.14E-09,4.85E-02,4.50E-04,9.49E-09,1.11E-08,2.25E-10,8.74E-04,8.80E-05,2.19E-02,4.40E-03,9.18E+00,3.49E+02,1.31E+00,2.44E+00,2.22E-06,2.84E-03,2.47E-01,7.67E-05
"Agneau système de production conventionnel en intérieur, à la ferme, France","Lamb, conventional, indoor production system, at farm gate {FR} U",Elevage,Agricultural\Animal production\Ovine\Transformation,1.99E+00,1.63E+01,7.22E-08,3.29E-01,2.65E-02,2.32E-06,3.02E-07,8.03E-09,3.42E-01,7.75E-04,6.45E-02,1.52E+00,8.25E+01,1.77E+03,2.72E+00,3.03E+01,1.94E-05,1.09E+01,5.14E+00,2.27E-01
"Agneau, conventionnel, système Roquefort, à la ferme, France","Lamb, conventional, Roquefort system, at farm gate {FR} U",Elevage,Agricultural\Animal production\Ovine\Transformation,6.28E-01,4.69E+00,1.84E-08,2.10E-01,5.49E-03,8.05E-07,5.51E-08,1.90E-09,1.17E-01,2.31E-04,2.15E-02,5.18E-01,1.73E+01,5.21E+02,2.70E-01,1.22E+01,6.36E-06,2.88E+00,1.75E+00,6.08E-02
"Algue production non optimisée, 1 kg d'algues (Laminaria), poids frais, France","Seaweed non-optimized production, 1kg algae (Laminaria), fresh weight {FR} U",Aquaculture,Agricultural\Plant production\Other\Transformation,1.22E-01,8.66E-01,1.05E-07,1.60E-01,5.61E-03,1.24E-07,1.13E-08,8.91E-10,1.71E-02,2.60E-04,1.66E-03,1.63E-02,7.95E+00,2.53E+00,4.64E-01,1.51E+01,1.10E-05,2.94E-03,8.62E-01,8.27E-04
"Algue production optimisée, 1 kg d'algues (Laminaria), poids frais, France","Seaweed optimized production, 1kg algae (Laminaria), fresh weight {FR} U",Aquaculture,Agricultural\Plant production\Other\Transformation,1.17E-02,1.04E-01,2.85E-09,2.32E-02,7.45E-04,8.85E-09,6.93E-10,1.30E-10,9.86E-04,2.04E-05,2.53E-04,2.43E-03,3.65E-01,2.43E-01,5.35E-02,2.11E+00,3.86E-07,4.37E-04,1.03E-01,4.04E-05
"Ananas, production mixte, à la ferme, île de la Réunion","Pineapple, mixed production, Reunion Island average, at production site {RE} U",Culture,Agricultural\Plant production\Fruits\Transformation,1.21E-01,1.34E+00,4.98E-09,2.25E-02,1.86E-03,1.72E-07,2.48E-09,1.08E-10,1.22E-02,2.36E-05,6.70E-03,9.66E-02,3.33E+00,2.60E+01,1.83E-01,3.15E+00,1.55E-06,4.16E-01,9.21E-01,8.40E-05
"Anchois européenne, Engraulis encrasicolus, atlantique centre est, senne, au débarquement, Maroc","European Anchovy, Engraulis encrasicolus, ECA, Seine, average, at landing {MA} U",Pêche,Agricultural\Animal production\Fish\Transformation,9.18E-02,4.85E-01,1.03E-08,4.37E-03,1.07E-02,1.12E-07,4.31E-09,3.11E-10,1.46E-02,3.14E-05,3.57E-03,3.88E-02,3.20E+00,1.13E+00,2.34E-02,6.29E+00,6.77E-06,1.05E-04,4.84E-01,7.56E-04
"Avoine, moyenne nationale, alimentation animale, à la ferme, France","Oat grain, national average, animal feed, at farm gate {FR} U",Culture,Agricultural\Plant production\Cereals\Transformation,7.96E-02,5.55E-01,6.65E-09,8.63E-03,1.74E-03,5.51E-08,1.48E-08,1.04E-09,8.70E-03,1.73E-04,7.07E-03,3.87E-02,8.00E+00,1.06E+02,1.24E-01,2.30E+00,1.57E-06,9.22E-05,4.30E-01,1.25E-01
